convoID,ambientVariant,processedVolume,technology,model,bleu_score
30013825,insideAmbulance,-15dBFS,whisper,large,68.66160225838395
30013825,insideAmbulance,-20dBFS,whisper,large,72.5072838351408
30013825,insideAmbulance,-25dBFS,whisper,large,72.24005635809516
30013825,insideAmbulance,-30dBFS,whisper,large,75.29551284621269
30013825,insideAmbulance,-35dBFS,whisper,large,73.27449318413848
30013825,insideCrowded,-15dBFS,whisper,large,45.073118161734754
30013825,insideCrowded,-20dBFS,whisper,large,72.47844724210744
30013825,insideCrowded,-25dBFS,whisper,large,73.953297552425
30013825,insideCrowded,-30dBFS,whisper,large,73.22764933130865
30013825,insideCrowded,-35dBFS,whisper,large,79.22750858954404
30013825,talking,-15dBFS,whisper,large,66.31844668146508
30013825,talking,-20dBFS,whisper,large,74.82401376704816
30013825,talking,-25dBFS,whisper,large,75.12122640624311
30013825,talking,-30dBFS,whisper,large,75.28715716886134
30013825,talking,-35dBFS,whisper,large,74.37184752617078
30013825,trafficOutside,-15dBFS,whisper,large,69.90276026997043
30013825,trafficOutside,-20dBFS,whisper,large,75.35153915666281
30013825,trafficOutside,-25dBFS,whisper,large,76.42516948025352
30013825,trafficOutside,-30dBFS,whisper,large,76.02082148233242
30013825,trafficOutside,-35dBFS,whisper,large,70.61832948923465
30114157,insideAmbulance,-15dBFS,whisper,large,76.6827585923992
30114157,insideAmbulance,-20dBFS,whisper,large,87.02384634153948
30114157,insideAmbulance,-25dBFS,whisper,large,88.94796196363241
30114157,insideAmbulance,-30dBFS,whisper,large,90.42097574765596
30114157,insideAmbulance,-35dBFS,whisper,large,89.52939467209688
30114157,insideCrowded,-15dBFS,whisper,large,48.705494485143916
30114157,insideCrowded,-20dBFS,whisper,large,80.48393803235837
30114157,insideCrowded,-25dBFS,whisper,large,82.90508115109334
30114157,insideCrowded,-30dBFS,whisper,large,89.88838246484441
30114157,insideCrowded,-35dBFS,whisper,large,90.37567644542064
30114157,talking,-15dBFS,whisper,large,83.47492691886615
30114157,talking,-20dBFS,whisper,large,83.73913215036768
30114157,talking,-25dBFS,whisper,large,89.0398997367458
30114157,talking,-30dBFS,whisper,large,89.58790072446509
30114157,talking,-35dBFS,whisper,large,82.08697576100212
30114157,trafficOutside,-15dBFS,whisper,large,78.15706176108695
30114157,trafficOutside,-20dBFS,whisper,large,86.77012036978526
30114157,trafficOutside,-25dBFS,whisper,large,87.8815963792695
30114157,trafficOutside,-30dBFS,whisper,large,85.08591003465915
30114157,trafficOutside,-35dBFS,whisper,large,89.06999077633262
30238398,insideAmbulance,-15dBFS,whisper,large,77.64079507527016
30238398,insideAmbulance,-20dBFS,whisper,large,88.06803011880636
30238398,insideAmbulance,-25dBFS,whisper,large,86.77945724142334
30238398,insideAmbulance,-30dBFS,whisper,large,86.93990827315675
30238398,insideAmbulance,-35dBFS,whisper,large,78.24699979469132
30238398,insideCrowded,-15dBFS,whisper,large,57.094696877888154
30238398,insideCrowded,-20dBFS,whisper,large,84.6394031697648
30238398,insideCrowded,-25dBFS,whisper,large,85.60782721031362
30238398,insideCrowded,-30dBFS,whisper,large,86.75282498020653
30238398,insideCrowded,-35dBFS,whisper,large,92.95534185391143
30238398,talking,-15dBFS,whisper,large,83.0583558422564
30238398,talking,-20dBFS,whisper,large,78.03370989027387
30238398,talking,-25dBFS,whisper,large,83.45645893937265
30238398,talking,-30dBFS,whisper,large,84.78577808145361
30238398,talking,-35dBFS,whisper,large,86.77657997443015
30238398,trafficOutside,-15dBFS,whisper,large,87.52274045688702
30238398,trafficOutside,-20dBFS,whisper,large,78.62193521086955
30238398,trafficOutside,-25dBFS,whisper,large,84.83262383477883
30238398,trafficOutside,-30dBFS,whisper,large,88.28540988912914
30238398,trafficOutside,-35dBFS,whisper,large,77.34940715143529
30328724,insideAmbulance,-15dBFS,whisper,large,78.89871050251608
30328724,insideAmbulance,-20dBFS,whisper,large,80.11384654958285
30328724,insideAmbulance,-25dBFS,whisper,large,88.62639881418113
30328724,insideAmbulance,-30dBFS,whisper,large,88.33336168489716
30328724,insideAmbulance,-35dBFS,whisper,large,85.39814068018788
30328724,insideCrowded,-15dBFS,whisper,large,59.342994343805536
30328724,insideCrowded,-20dBFS,whisper,large,81.22959366387812
30328724,insideCrowded,-25dBFS,whisper,large,83.03005631206024
30328724,insideCrowded,-30dBFS,whisper,large,90.91557425221107
30328724,insideCrowded,-35dBFS,whisper,large,83.06050142900322
30328724,talking,-15dBFS,whisper,large,78.97067999919491
30328724,talking,-20dBFS,whisper,large,80.14159959586715
30328724,talking,-25dBFS,whisper,large,82.71120085764316
30328724,talking,-30dBFS,whisper,large,80.04838285370525
30328724,talking,-35dBFS,whisper,large,86.74396806387013
30328724,trafficOutside,-15dBFS,whisper,large,81.33891577142539
30328724,trafficOutside,-20dBFS,whisper,large,87.22306536081774
30328724,trafficOutside,-25dBFS,whisper,large,85.38311170642275
30328724,trafficOutside,-30dBFS,whisper,large,85.20019311236027
30328724,trafficOutside,-35dBFS,whisper,large,87.30804413732952
30394981,insideAmbulance,-15dBFS,whisper,large,74.84373909771725
30394981,insideAmbulance,-20dBFS,whisper,large,80.61327599071014
30394981,insideAmbulance,-25dBFS,whisper,large,90.38603048522587
30394981,insideAmbulance,-30dBFS,whisper,large,75.88404883059566
30394981,insideAmbulance,-35dBFS,whisper,large,87.47700834534774
30394981,insideCrowded,-15dBFS,whisper,large,56.754019269868614
30394981,insideCrowded,-20dBFS,whisper,large,84.93981917336235
30394981,insideCrowded,-25dBFS,whisper,large,87.8830310168625
30394981,insideCrowded,-30dBFS,whisper,large,83.67712696858597
30394981,insideCrowded,-35dBFS,whisper,large,85.27948587112111
30394981,talking,-15dBFS,whisper,large,84.93973120285833
30394981,talking,-20dBFS,whisper,large,86.93448872973397
30394981,talking,-25dBFS,whisper,large,89.02020526560095
30394981,talking,-30dBFS,whisper,large,92.00738734772177
30394981,talking,-35dBFS,whisper,large,86.05456489221194
30394981,trafficOutside,-15dBFS,whisper,large,77.58410194352753
30394981,trafficOutside,-20dBFS,whisper,large,88.80713782818366
30394981,trafficOutside,-25dBFS,whisper,large,88.5449787280318
30394981,trafficOutside,-30dBFS,whisper,large,85.65427004285193
30394981,trafficOutside,-35dBFS,whisper,large,92.11841491184704
30414683,insideAmbulance,-15dBFS,whisper,large,68.3269911159111
30414683,insideAmbulance,-20dBFS,whisper,large,77.9994897150733
30414683,insideAmbulance,-25dBFS,whisper,large,82.8919336610111
30414683,insideAmbulance,-30dBFS,whisper,large,84.97330375356786
30414683,insideAmbulance,-35dBFS,whisper,large,87.97040105479797
30414683,insideCrowded,-15dBFS,whisper,large,54.18470490452855
30414683,insideCrowded,-20dBFS,whisper,large,77.65703816631905
30414683,insideCrowded,-25dBFS,whisper,large,78.20773947092806
30414683,insideCrowded,-30dBFS,whisper,large,83.92787649458361
30414683,insideCrowded,-35dBFS,whisper,large,84.7716469528785
30414683,talking,-15dBFS,whisper,large,78.35762141602807
30414683,talking,-20dBFS,whisper,large,79.33283344855477
30414683,talking,-25dBFS,whisper,large,81.73596814289786
30414683,talking,-30dBFS,whisper,large,83.14881070555721
30414683,talking,-35dBFS,whisper,large,85.14528002015201
30414683,trafficOutside,-15dBFS,whisper,large,76.51088203724643
30414683,trafficOutside,-20dBFS,whisper,large,81.18126265084763
30414683,trafficOutside,-25dBFS,whisper,large,81.39793624247869
30414683,trafficOutside,-30dBFS,whisper,large,82.8881417119478
30414683,trafficOutside,-35dBFS,whisper,large,84.1585756178734
30422892,insideAmbulance,-15dBFS,whisper,large,79.93462885426185
30422892,insideAmbulance,-20dBFS,whisper,large,85.14890915033187
30422892,insideAmbulance,-25dBFS,whisper,large,86.70692303305766
30422892,insideAmbulance,-30dBFS,whisper,large,88.48678407818991
30422892,insideAmbulance,-35dBFS,whisper,large,71.66398326835375
30422892,insideCrowded,-15dBFS,whisper,large,51.01693854902896
30422892,insideCrowded,-20dBFS,whisper,large,84.11726132224976
30422892,insideCrowded,-25dBFS,whisper,large,86.93203548812733
30422892,insideCrowded,-30dBFS,whisper,large,92.33777447231641
30422892,insideCrowded,-35dBFS,whisper,large,86.85784565013643
30422892,talking,-15dBFS,whisper,large,80.7000024325185
30422892,talking,-20dBFS,whisper,large,82.46674807901378
30422892,talking,-25dBFS,whisper,large,89.77565483556995
30422892,talking,-30dBFS,whisper,large,92.90912008285133
30422892,talking,-35dBFS,whisper,large,89.1568278408008
30422892,trafficOutside,-15dBFS,whisper,large,86.98421657059205
30422892,trafficOutside,-20dBFS,whisper,large,87.19541861399331
30422892,trafficOutside,-25dBFS,whisper,large,92.46905000680357
30422892,trafficOutside,-30dBFS,whisper,large,87.03278947040145
30422892,trafficOutside,-35dBFS,whisper,large,93.94140215262797
30476333,insideAmbulance,-15dBFS,whisper,large,68.6190562590097
30476333,insideAmbulance,-20dBFS,whisper,large,72.9538993046876
30476333,insideAmbulance,-25dBFS,whisper,large,72.80432435988685
30476333,insideAmbulance,-30dBFS,whisper,large,81.46490751384353
30476333,insideAmbulance,-35dBFS,whisper,large,72.97504982353693
30476333,insideCrowded,-15dBFS,whisper,large,48.48656368126388
30476333,insideCrowded,-20dBFS,whisper,large,74.47558947226122
30476333,insideCrowded,-25dBFS,whisper,large,73.38154720065104
30476333,insideCrowded,-30dBFS,whisper,large,81.14658886684656
30476333,insideCrowded,-35dBFS,whisper,large,83.37645602838795
30476333,talking,-15dBFS,whisper,large,66.29269296077214
30476333,talking,-20dBFS,whisper,large,78.37575745796751
30476333,talking,-25dBFS,whisper,large,73.95257783567277
30476333,talking,-30dBFS,whisper,large,77.9384066453127
30476333,talking,-35dBFS,whisper,large,75.43851091285335
30476333,trafficOutside,-15dBFS,whisper,large,77.31256305285798
30476333,trafficOutside,-20dBFS,whisper,large,76.15624116655451
30476333,trafficOutside,-25dBFS,whisper,large,80.05636845262562
30476333,trafficOutside,-30dBFS,whisper,large,71.86324286672865
30476333,trafficOutside,-35dBFS,whisper,large,80.36834195495375
30500236,insideAmbulance,-15dBFS,whisper,large,73.39313755707066
30500236,insideAmbulance,-20dBFS,whisper,large,82.22792027531496
30500236,insideAmbulance,-25dBFS,whisper,large,84.19404579538039
30500236,insideAmbulance,-30dBFS,whisper,large,89.21537944803804
30500236,insideAmbulance,-35dBFS,whisper,large,89.40098566892392
30500236,insideCrowded,-15dBFS,whisper,large,52.12976639196904
30500236,insideCrowded,-20dBFS,whisper,large,83.17712532931002
30500236,insideCrowded,-25dBFS,whisper,large,88.42730208059413
30500236,insideCrowded,-30dBFS,whisper,large,89.82312082924481
30500236,insideCrowded,-35dBFS,whisper,large,86.29783062634056
30500236,talking,-15dBFS,whisper,large,75.0348391691615
30500236,talking,-20dBFS,whisper,large,87.1185403969537
30500236,talking,-25dBFS,whisper,large,87.07969146822333
30500236,talking,-30dBFS,whisper,large,83.8067294240227
30500236,talking,-35dBFS,whisper,large,76.56422721870291
30500236,trafficOutside,-15dBFS,whisper,large,75.42068564610575
30500236,trafficOutside,-20dBFS,whisper,large,87.04145778498804
30500236,trafficOutside,-25dBFS,whisper,large,86.77097454575024
30500236,trafficOutside,-30dBFS,whisper,large,90.05350549213601
30500236,trafficOutside,-35dBFS,whisper,large,90.40598126491037
