,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,90.04771896897995,0.3022355541952238,297.9388682736353,9.718267181925585e-147,89.44794234810891,90.64749558985099
C(system)[T.whisper–large],-5.513876438900226,0.1868171893875283,-29.51482386057311,1.4633661953070954e-50,-5.884609071167244,-5.1431438066332085
C(system)[T.whisper–medium],-4.7908525748634965,0.20314470656808475,-23.583447758988605,3.472500309000413e-42,-5.1939866335869205,-4.3877185161400725
C(system)[T.whisper–turbo],-3.4563436470201188,0.22210546547673693,-15.56172262398528,3.1218708726843144e-28,-3.8971047147089943,-3.015582579331243
C(system)[T.vosk–vosk-model-de-0.21],-71.8178649310336,0.3088061565489803,-232.56616944954735,3.277918662681072e-136,-72.43068069843164,-71.20504916363555
C(system)[T.whisper_v2–whisper_rescuespeech],-85.27289144792644,0.2819198182030161,-302.4721425810502,2.2160246241889067e-147,-85.83235215190821,-84.71343074394467
C(ambientVariant)[T.insideAmbulance],-1.0156754401457393,0.07123246608330888,-14.258602797183395,1.2222234996092738e-25,-1.157033950786619,-0.8743169295048596
C(ambientVariant)[T.insideCrowded],-5.133713293988825,0.1011491063078024,-50.75391648411255,3.5698417714078606e-72,-5.334440403501004,-4.932986184476645
C(ambientVariant)[T.talking],-0.4079208012805293,0.07101639774663329,-5.744036789022685,1.0406837956773969e-07,-0.5488505313393441,-0.2669910712217145
C(processedVolume)[T.-15dBFS],-11.471152023960048,0.17977314417598964,-63.80904153698462,1.2467043298241435e-81,-11.827905977757258,-11.114398070162839
C(processedVolume)[T.-20dBFS],-3.1708313328499917,0.09728313620805486,-32.593843665449725,2.13323060676637e-54,-3.3638865505194353,-2.977776115180548
C(processedVolume)[T.-25dBFS],-0.86381104803561,0.07358133951871222,-11.739539585521369,2.1514705620685205e-20,-1.009830821563615,-0.717791274507605
C(processedVolume)[T.-30dBFS],-0.12009353546750859,0.05874785418683043,-2.044219948622908,0.04361402636250315,-0.23667674011867845,-0.003510330816338725
