,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.9455809367478835,0.01333841539632321,70.89154960704978,5.130635755458925e-86,0.9191112855002561,0.9720505879955108
C(system)[T.whisper–large],-0.09071326784442646,0.008853558480834738,-10.2459669793556,3.542520727726921e-17,-0.10828286650550642,-0.0731436691833465
C(system)[T.whisper–medium],-0.16113449316634165,0.017390219373878142,-9.265811413994113,4.747864529724454e-15,-0.19564481753914337,-0.12662416879353994
C(system)[T.whisper–turbo],-0.1157414630810012,0.014102319189808418,-8.207264459355466,9.145679375104319e-13,-0.143727056545113,-0.08775586961688939
C(system)[T.vosk–vosk-model-de-0.21],-0.22956380872445328,0.01573865094356832,-14.585990219083275,2.6752662883359296e-26,-0.26079664929854657,-0.19833096815036
C(system)[T.whisper_v2–whisper_rescuespeech],-0.676382538349228,0.015600432915988081,-43.356651830862866,9.401081765230069e-66,-0.7073410897459732,-0.6454239869524828
C(ambientVariant)[T.insideAmbulance],-0.030284132446323123,0.0022160188063689978,-13.666008771804798,1.9732818339624437e-24,-0.03468174964595988,-0.02588651524668636
C(ambientVariant)[T.insideCrowded],-0.08449514147918759,0.004116983367061351,-20.52355667870942,2.9352349078820413e-37,-0.09266516098153686,-0.07632512197683831
C(ambientVariant)[T.talking],-0.02225613947460081,0.0029522314202820635,-7.538751644501637,2.4124042354271896e-11,-0.028114746646086455,-0.016397532303115168
C(processedVolume)[T.-15dBFS],-0.17844968909109774,0.005741563382806912,-31.080330772880536,1.4995497809075611e-52,-0.18984363476180607,-0.1670557434203894
C(processedVolume)[T.-20dBFS],-0.06570095944060594,0.004240529827708398,-15.493573234953766,4.243883377935834e-28,-0.07411615287321889,-0.057285766007993
C(processedVolume)[T.-25dBFS],-0.023914849422818827,0.0030428172231710218,-7.859443295084403,5.053972400333747e-12,-0.02995322117197072,-0.017876477673666933
C(processedVolume)[T.-30dBFS],-0.006539719273963295,0.002258501688106008,-2.8956007907381904,0.004666383036039091,-0.011021642369777412,-0.0020577961781491783
