ATC-Bedeutung;ATC-Bedeutung_cleaned
;
Abacavir;abacavir
Abaloparatid;abaloparatid
Abametapir;abametapir
Abarelix;abarelix
Abatacept;abatacept
Abciximab;abciximab
Abemaciclib;abemaciclib
Abetimus;abetimus
Abicipar pegol;abicipar pegol
Abirateron;abirateron
Abirateron und Prednisolon;abirateron prednisolon
Abrechnung von Buprenorphin- oder Subutex-Einzeldosen;abrechnung von buprenorphin subutex einzeldosen
Abrechnung von Buprenorphin-/Naloxon-Einzeldosen;abrechnung von buprenorphin naloxon einzeldosen
"Abrechnung von Cannabinoid-haltigen Stoffen oder 
Fertigarzneimitteln in Zubereitungen";abrechnung von cannabinoid haltigen stoffen fertigarzneimitteln zubereitungen
"Abrechnung von Cannabis-Blüten, unverändert oder 
in Zubereitungen";abrechnung von cannabis blueten unveraendert zubereitungen
"Abrechnung von Medizinalcannabis, unverändert oder 
in Zubereitungen";abrechnung von medizinalcannabis unveraendert zubereitungen
Abrechnung von Morphin (Take-Home);abrechnung von morphin take home
Abrechnungsfähige Beschaffungskosten;abrechnungsfaehige beschaffungskosten
Abrocitinib;abrocitinib
Absorbierbarer Gelatineschwamm;absorbierbarer gelatineschwamm
Acadesin;acadesin
Acalabrutinib;acalabrutinib
Acamprosat;acamprosat
Acarbose;acarbose
Acebutolol;acebutolol
Acebutolol und andere Diuretika;acebutolol andere diuretika
Acebutolol und Nifedipin;acebutolol nifedipin
Acebutolol und Thiazide;acebutolol thiazide
Aceclidin;aceclidin
Aceclidin, Kombinationen;aceclidin kombinationen
Aceclofenac;aceclofenac
Acefyllinpiperazin;acefyllinpiperazin
Acemetacin;acemetacin
Aceneuraminsäure;aceneuraminsaeure
Acenocoumarol;acenocoumarol
Acepromazin;acepromazin
Acetarsol;acetarsol
Acetazolamid;acetazolamid
Acethiamin;acethiamin
Acetohexamid;acetohexamid
Acetohydroxamsäure;acetohydroxamsaeure
Acetophenazin;acetophenazin
Acetoxolon;acetoxolon
Acetrizoinsäure;acetrizoinsaeure
Acetylaminonitropropoxybenzol;acetylaminonitropropoxybenzol
Acetylcarnitin;acetylcarnitin
Acetylcholin;acetylcholin
Acetylcystein;acetylcystein
Acetyldigitoxin;acetyldigitoxin
Acetyldigoxin;acetyldigoxin
Acetyldigoxin, Kombinationen;acetyldigoxin kombinationen
Acetyldihydrocodein;acetyldihydrocodein
Acetylglycinamidchloralhydrat;acetylglycinamidchloralhydrat
Acetylleucin;acetylleucin
Acetylsalicylsäure;acetylsalicylsaeure
Acetylsalicylsäure, Kombinationen;acetylsalicylsaeure kombinationen
Acetylsalicylsäure, Kombinationen exkl. Psycholeptika;acetylsalicylsaeure kombinationen exkl psycholeptika
