ATC-Bedeutung,ATC-Bedeutung_cleaned
Abacavir,abacavir
Abaloparatid,abaloparatid
Abametapir,abametapir
Abarelix,abarelix
Abatacept,abatacept
Abciximab,abciximab
Abemaciclib,abemaciclib
Abetimus,abetimus
Abicipar pegol,abicipar pegol
Abirateron,abirateron
Abirateron und Prednisolon,abirateron prednisolon
Abrechnung von Buprenorphin- oder Subutex-Einzeldosen,abrechnung buprenorphin subutex einzeldosen
Abrechnung von Buprenorphin-/Naloxon-Einzeldosen,abrechnung buprenorphin naloxon einzeldosen
"Abrechnung von Cannabinoid-haltigen Stoffen oder 
Fertigarzneimitteln in Zubereitungen",abrechnung cannabinoid haltigen stoffen fertigarzneimitteln zubereitungen
"Abrechnung von Cannabis-Blüten, unverändert oder 
in Zubereitungen",abrechnung cannabis blueten unveraendert zubereitungen
"Abrechnung von Medizinalcannabis, unverändert oder 
in Zubereitungen",abrechnung medizinalcannabis unveraendert zubereitungen
Abrechnung von Morphin (Take-Home),abrechnung morphin take home
Abrechnungsfähige Beschaffungskosten,abrechnungsfaehige beschaffungskosten
Abrocitinib,abrocitinib
Absorbierbarer Gelatineschwamm,absorbierbarer gelatineschwamm
Acadesin,acadesin
Acalabrutinib,acalabrutinib
Acamprosat,acamprosat
Acarbose,acarbose
Acebutolol,acebutolol
Acebutolol und andere Diuretika,acebutolol diuretika
Acebutolol und Nifedipin,acebutolol nifedipin
Acebutolol und Thiazide,acebutolol thiazide
Aceclidin,aceclidin
Aceclofenac,aceclofenac
Acefyllinpiperazin,acefyllinpiperazin
Acemetacin,acemetacin
Aceneuraminsäure,aceneuraminsaeure
Acenocoumarol,acenocoumarol
Acepromazin,acepromazin
Acetarsol,acetarsol
Acetazolamid,acetazolamid
Acethiamin,acethiamin
Acetohexamid,acetohexamid
Acetohydroxamsäure,acetohydroxamsaeure
Acetophenazin,acetophenazin
Acetoxolon,acetoxolon
Acetrizoinsäure,acetrizoinsaeure
Acetylaminonitropropoxybenzol,acetylaminonitropropoxybenzol
Acetylcarnitin,acetylcarnitin
Acetylcholin,acetylcholin
Acetylcystein,acetylcystein
Acetyldigitoxin,acetyldigitoxin
Acetyldigoxin,acetyldigoxin
Acetyldihydrocodein,acetyldihydrocodein
Acetylglycinamidchloralhydrat,acetylglycinamidchloralhydrat
Acetylleucin,acetylleucin
Acetylsalicylsäure,acetylsalicylsaeure
"Acetylsalicylsäure, Kombinationen exkl. Psycholeptika",acetylsalicylsaeure psycholeptika
"Acetylsalicylsäure, Kombinationen mit Protonenpumpenhemmern",acetylsalicylsaeure protonenpumpenhemmern
Acetylsalicylsäure und Corticosteroide,acetylsalicylsaeure corticosteroide
Acetylsalicylsäure und Esomeprazol,acetylsalicylsaeure esomeprazol
Acetylsalicylsäure und Pseudoephedrin,acetylsalicylsaeure pseudoephedrin
Aciclovir,aciclovir
Acipimox,acipimox
Acitretin,acitretin
Aclarubicin,aclarubicin
Aclidiniumbromid,aclidiniumbromid
Acmella ciliata,acmella ciliata
Aconitum,aconitum
Acoramidis,acoramidis
Acotiamid,acotiamid
Acriflaviniumchlorid,acriflaviniumchlorid
Acrivastin,acrivastin
Adagrasib,adagrasib
Adalimumab,adalimumab
Adapalen,adapalen
Adapalen und Benzoylperoxid,adapalen benzoylperoxid
Adefovirdipivoxil,adefovirdipivoxil
Ademetionin,ademetionin
Adenosin,adenosin
Adinazolam,adinazolam
Adipiodon,adipiodon
Adrafinil,adrafinil
Adrenalon,adrenalon
"Adrenerge und dopaminerge Mittel, Kombinationen",adrenerge dopaminerge mittel
Aducanumab,aducanumab
Aescin,aescin
Afamelanotid,afamelanotid
Afatinib,afatinib
Afelimomab,afelimomab
Aflibercept,aflibercept
Agalsidase alfa,agalsidase alfa
Agalsidase beta,agalsidase beta
Agnus castus,agnus castus
Agomelatin,agomelatin
Ajmalin,ajmalin
Alanylglutamin,alanylglutamin
Alaproclat,alaproclat
Alaun,alaun
Albendazol,albendazol
Albiglutid,albiglutid
Albinterferon alfa-2b,albinterferon alfa
Albumin,albumin
Albumintannat,albumintannat
Albutrepenonacog alfa,albutrepenonacog alfa
Alcaftadin,alcaftadin
Alclofenac,alclofenac
Alclometason,alclometason
Alcuronium,alcuronium
Aldesleukin,aldesleukin
Aldesulfonnatrium,aldesulfonnatrium
Aldosteron,aldosteron
Alectinib,alectinib
Alefacept,alefacept
Alemtuzumab,alemtuzumab
Alendronsäure,alendronsaeure
"Alendronsäure, Calcium und Colecalciferol, Sequenzialpräparate",alendronsaeure calcium colecalciferol sequenzialpraeparate
"Alendronsäure und Alfacalcidol, Sequenzialpräparate",alendronsaeure alfacalcidol sequenzialpraeparate
Alendronsäure und Colecalciferol,alendronsaeure colecalciferol
Alfacalcidol,alfacalcidol
alfa-Tocopherolnicotinat,alfa tocopherolnicotinat
Alfaxalon,alfaxalon
Alfa1-Antitrypsin,alfa antitrypsin
Alfentanil,alfentanil
Alfuzosin,alfuzosin
Alfuzosin und Finasterid,alfuzosin finasterid
Algeldrat,algeldrat
Alginsäure,alginsaeure
Alglucerase,alglucerase
Alglucosidase alfa,alglucosidase alfa
Alimemazin,alimemazin
Alipogentiparvovec,alipogentiparvovec
Alirocumab,alirocumab
Aliskiren,aliskiren
"Aliskiren, Amlodipin und Hydrochlorothiazid",aliskiren amlodipin hydrochlorothiazid
Aliskiren und Amlodipin,aliskiren amlodipin
Aliskiren und Hydrochlorothiazid,aliskiren hydrochlorothiazid
Alitretinoin,alitretinoin
Alizaprid,alizaprid
Alkohol-Testzone,alkohol testzone
Allobarbital,allobarbital
"Allogene T-Zellen, genetisch modifiziert",allogene zellen genetisch modifiziert
Allopurinol,allopurinol
Allylestrenol,allylestrenol
Almagat,almagat
Almasilat,almasilat
Alminoprofen,alminoprofen
Almitrin,almitrin
Almotriptan,almotriptan
Aloe,aloe
Alogliptin,alogliptin
Aloglutamol,aloglutamol
Alosetron,alosetron
Aloxiprin,aloxiprin
Alpelisib,alpelisib
"Alpha-Pinen, Kombinationen",alpha pinen
Alprazolam,alprazolam
Alprenolol,alprenolol
Alprenolol und Thiazide,alprenolol thiazide
Alprostadil,alprostadil
Alsactid,alsactid
Alteplase,alteplase
Altizid und Kalium sparende Mittel,altizid kalium sparende mittel
Altretamin,altretamin
Aluminiumacetattartrat,aluminiumacetattartrat
Aluminiumacetoacetat,aluminiumacetoacetat
Aluminiumchlorat,aluminiumchlorat
Aluminiumchlorid,aluminiumchlorid
Aluminiumchloridhydroxid,aluminiumchloridhydroxid
Aluminiumchloridhydroxid-Komplex,aluminiumchloridhydroxid komplex
Aluminiumclofibrat,aluminiumclofibrat
Aluminiumglycinat,aluminiumglycinat
Aluminium-haltige Verbindungen,aluminium
Aluminium-haltige Zubereitungen,aluminium zubereitungen
Aluminiumhydroxid,aluminiumhydroxid
Aluminiumhydroxid und Karminativa,aluminiumhydroxid karminativa
Aluminiumhydroxychlorid,aluminiumhydroxychlorid
Aluminiumnicotinat,aluminiumnicotinat
Aluminiumoxid,aluminiumoxid
Aluminiumoxid in Kombination mit Magnesiumhydroxid,aluminiumoxid kombination magnesiumhydroxid
Aluminiumphosphat,aluminiumphosphat
Aluminiumpulver,aluminiumpulver
Aluminiumsalze,aluminiumsalze
Aluminiumsulfat,aluminiumsulfat
Alverin,alverin
Alvimopan,alvimopan
Amantadin,amantadin
Ambazon,ambazon
Ambenonium,ambenonium
Ambrisentan,ambrisentan
Ambrisentan und Tadalafil,ambrisentan tadalafil
Ambroxol,ambroxol
"Ambucetamid, Kombinationen",ambucetamid
Ambucetamid und Analgetika,ambucetamid analgetika
Ambutonium und Psycholeptika,ambutonium psycholeptika
Amcinonid,amcinonid
Ameisensäure,ameisensaeure
Amenamevir,amenamevir
Ameziniummetilsulfat,ameziniummetilsulfat
Amfepramon,amfepramon
Amfetamin,amfetamin
Amfetaminil,amfetaminil
Amfetamin-Testzone,amfetamin testzone
Amidefrin,amidefrin
Amidotrizoesäure,amidotrizoesaeure
Amifampridin,amifampridin
Amifostin,amifostin
