icd_title,clean_synonym,only_nouns,non_nouns,adjectives
HYPOTENSION NOS,abfall des blutdrucks,abfall blutdrucks,des,
HYPOTENSION NOS,arterielle hypotonie,hypotonie,arterielle,arterielle
HYPOTENSION NOS,arterieller blutdruck erniedrigt,blutdruck,arterieller erniedrigt,
HYPOTENSION NOS,arterieller blutdruck nnb erniedrigt,blutdruck nnb,arterieller erniedrigt,
HYPOTENSION NOS,arterienblutdruck erniedrigt,arterienblutdruck,erniedrigt,
HYPOTENSION NOS,blutdruck abgefallen,,blutdruck abgefallen,
HYPOTENSION NOS,blutdruck erniedrigt,blutdruck,erniedrigt,
HYPOTENSION NOS,blutdruck gefallen,blutdruck,gefallen,
HYPOTENSION NOS,blutdruck niedrig,,blutdruck niedrig,
HYPOTENSION NOS,blutdruck verringert,blutdruck,verringert,
HYPOTENSION NOS,blutdruck niedriger,blutdruck,niedriger,
HYPOTENSION NOS,blutdruckabfall arteriell,blutdruckabfall,arteriell,
HYPOTENSION NOS,druck arteriell vermindert,druck,arteriell vermindert,
HYPOTENSION NOS,fall des blutdrucks,fall blutdrucks,des,
HYPOTENSION NOS,hypotension,hypotension,,
HYPOTENSION NOS,hypotonie,hypotonie,,
HYPOTENSION NOS,hypotonie nnb,hypotonie,nnb,
HYPOTENSION NOS,hypotonie nicht naeher bezeichnet,hypotonie,nicht naeher bezeichnet,
HYPOTENSION NOS,hypotonie nicht spezifiziert,hypotonie,nicht spezifiziert,
HYPOTENSION NOS,niedriger blutdruck,blutdruck,niedriger,
HYPOTENSION NOS,verringerter blutdruck,blutdruck,verringerter,
ASYMPTOMATIC HIV INFECTION,asymptomatische hiv infektion humane immundefizienz virusinfektion,hiv infektion immundefizienz virusinfektion,asymptomatische humane,asymptomatische humane
"OTH SEQUELA, CHR LIV DIS",sonstige spaetkomplikation einer chronischen lebererkrankung,spaetkomplikation lebererkrankung,sonstige einer chronischen,chronischen
CIRRHOSIS OF LIVER NOS,zirrhose der leber ohne erwaehnung von alkohol,zirrhose leber erwaehnung alkohol,der ohne von,
ABDOMINAL PAIN UNSPEC SITE,abd schmerz,schmerz,abd,
ABDOMINAL PAIN UNSPEC SITE,abdo schmerz,abdo schmerz,,
ABDOMINAL PAIN UNSPEC SITE,abdomen schmerzhaft,schmerzhaft,abdomen,
ABDOMINAL PAIN UNSPEC SITE,abdominalschmerz,,abdominalschmerz,
ABDOMINAL PAIN UNSPEC SITE,abdominalschmerzen,,abdominalschmerzen,
ABDOMINAL PAIN UNSPEC SITE,abdominalschmerzen nnb,,abdominalschmerzen nnb,
ABDOMINAL PAIN UNSPEC SITE,bauchschmerz,bauchschmerz,,
ABDOMINAL PAIN UNSPEC SITE,bauchschmerzen,,bauchschmerzen,
ABDOMINAL PAIN UNSPEC SITE,schmerz abdo,schmerz abdo,,
ABDOMINAL PAIN UNSPEC SITE,schmerz abdominal,schmerz,abdominal,
ALTERED MENTAL STATUS ,psychischer zustand anomal,zustand,psychischer anomal,
"ENCEPHALOPATHY, UNSPECIFIED",enzephalopathie,enzephalopathie,,
"ENCEPHALOPATHY, UNSPECIFIED",enzephalopathie nnb,enzephalopathie,nnb,
"ENCEPHALOPATHY, UNSPECIFIED",enzephalopathie nicht naeher bezeichnet,enzephalopathie,nicht naeher bezeichnet,
"ENCEPHALOPATHY, UNSPECIFIED",enzephalopathie nicht spezifiziert,enzephalopathie,nicht spezifiziert,
"ENCEPHALOPATHY, UNSPECIFIED",enzephalopathien,,enzephalopathien,
Weakness,allgemeine schwaeche,schwaeche,allgemeine,allgemeine
Weakness,asthenie,asthenie,,
Weakness,gefuehle der schwaeche,gefuehle schwaeche,der,
Weakness,kraftlosigkeit,kraftlosigkeit,,
Weakness,kraftverlust,kraftverlust,,
Weakness,schwaeche,schwaeche,,
Weakness,schwaeche allgemein,schwaeche,allgemein,
Weakness,schwaeche generalisiert,schwaeche,generalisiert,
Weakness,schwaechegefuehl,schwaechegefuehl,,
Weakness,schwaechegefuehl nicht spezifiziert,schwaechegefuehl,nicht spezifiziert,
Weakness,schwaechgefuehl,schwaechgefuehl,,
Weakness,schwäche,,schwäche,
Parkinson's disease,idiopathische parkinson krankheit,parkinson krankheit,idiopathische,idiopathische
Parkinson's disease,lewy body parkinson krankheit,lewy body parkinson krankheit,,
Parkinson's disease,morbus parkinson,morbus parkinson,,
Parkinson's disease,paralysis agitans,paralysis agitans,,
Parkinson's disease,parkinson syndrom,parkinson syndrom,,
Parkinson's disease,parkinson syndrom nnb,parkinson syndrom,nnb,
Parkinson's disease,parkinson krankheit,parkinson krankheit,,
Parkinson's disease,parkinson syndrom,parkinson syndrom,,
Parkinson's disease,primaeres parkinson syndrom,parkinson syndrom,primaeres,primaeres
Parkinson's disease,primärer parkinsonismus,parkinsonismus,primärer,
Parkinson's disease,primäres parkinson syndrom,primäres parkinson syndrom,,
Parkinson's disease,schuettellaehmung,schuettellaehmung,,
Parkinson's disease,syndrom parkinson,syndrom,parkinson,
"Altered mental status, unspecified",gemuetszustand veraendert,gemuetszustand,veraendert,
Unspecified dementia without behavioral disturbance,amentia,amentia,,
Unspecified dementia without behavioral disturbance,demenz,demenz,,
Unspecified dementia without behavioral disturbance,demenz nnb,demenz,nnb,
Unspecified dementia without behavioral disturbance,nicht naeher bezeichnete demenz,demenz,nicht naeher bezeichnete,
LOCAL SUPRFICIAL SWELLNG,lokalisierte oberflaechliche schwellung raumforderung oder knoten,schwellung raumforderung,lokalisierte oberflaechliche oder knoten,lokalisierte oberflaechliche
CELLULITIS/ABSCESS MOUTH,zellulitis und abszess der oralen weichteile,zellulitis weichteile,und abszess der oralen,
"Dysphagia, unspecified",beschwerden deglutition,deglutition,beschwerden,
"Dysphagia, unspecified",deglutitionsbeschwerden,,deglutitionsbeschwerden,
"Dysphagia, unspecified",dysphagie,dysphagie,,
"Dysphagia, unspecified",schluckbeschwerden,,schluckbeschwerden,schluckbeschwerden
"Dysphagia, unspecified",schlucken schwierig,,schlucken schwierig,
"Dysphagia, unspecified",schluckschwierigkeiten,,schluckschwierigkeiten,
"Dysphagia, unspecified",schluckstoerung,schluckstoerung,,
"Dysphagia, unspecified",schluckstörungen,,schluckstörungen,
"Gout, unspecified",gicht,,gicht,
"Gout, unspecified",gicht nicht naeher bezeichnet,,gicht nicht naeher bezeichnet,
"Gout, unspecified",gicht nicht spezifiziert,,gicht nicht spezifiziert,
"Gout, unspecified",urikopathie,urikopathie,,
CONG FACTOR VIII DIORD,haemophilie,haemophilie,,
CONG FACTOR VIII DIORD,haemophilie a,haemophilie a,,
CONG FACTOR VIII DIORD,haemophilie a faktor viii,haemophilie a faktor,viii,
