COMPONENT,COMPONENT_cleaned
Harnstoff-Stickstoff,harnstoff stickstoff
Iva ciliata Ak.IgG,iva ciliata ak igg
(Hühnerfeder+Entenfeder+Gänsefeder) Ak.IgE,huehnerfeder entenfeder gaensefeder ak ige
Immunglobulin Leichtketten.lambda,immunglobulin leichtketten lambda
Promyelozyten/Leukozyten,promyelozyten leukozyten
Glucose^30 Minuten nach Dosis Glucose,glucose minuten dosis glucose
Corticotropin^2. Probenmaterial nach XXX Stimulation,corticotropin probenmaterial stimulation
Aminosäuren,aminosaeuren
Creatinin,creatinin
Phosphat,phosphat
Calcium,calcium
Bilirubin,bilirubin
Arginin/Creatinin,arginin creatinin
Asparagin/Creatinin,asparagin creatinin
Dodecanedioat/Creatinin,dodecanedioat creatinin
Estron/Creatinin,estron creatinin
Histamin/Creatinin,histamin creatinin
"Calcitonin^5 Minuten nach 0,5 µg/kg Pentagastrin intravenös",calcitonin minuten kg pentagastrin intravenoes
Isovalerylglycin/Creatinin,isovalerylglycin creatinin
Phosphoethanolamin/Creatinin,phosphoethanolamin creatinin
HIV-1 RNA,hiv rna
Protein/Creatinin,protein creatinin
Vasopressin,vasopressin
HLA-B27-bezogenes Ag,hla bezogenes ag
Adenovirus Ak.IgM,adenovirus ak igm
Glutamat-Decarboxylase 65 Ak,glutamat decarboxylase ak
Ascorbat,ascorbat
Butalbital,butalbital
Cortisol^4. Probenmaterial nach XXX Stimulation,cortisol probenmaterial stimulation
Cortisol^30 Minuten nach XXX Stimulation,cortisol minuten stimulation
Creatinin^7. Probenmaterial,creatinin probenmaterial
Gramicidin D,gramicidin
Secobarbital,secobarbital
Valin,valin
Cystin,cystin
Mononukleäre Zellen,mononukleaere zellen
Neutrophile.stabkernig/Leukozyten,neutrophile stabkernig leukozyten
(Ambrosia elatior+Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Salsola kali) Ak.IgE,ambrosia elatior artemisia vulgaris chenopodium album plantago lanceolata salsola kali ak ige
(Ambrosia psilostachya+Artemisia vulgaris+Atriplex lentiformis+Chenopodium album+Plantago lanceolata) Ak.IgE,ambrosia psilostachya artemisia vulgaris atriplex lentiformis chenopodium album plantago lanceolata ak ige
(Plantago lanceolata+Chenopodium album+Salsola kali+Rumex acetosella) Ak.IgE,plantago lanceolata chenopodium album salsola kali rumex acetosella ak ige
Proteinmuster,proteinmuster
Serotonin,serotonin
Thyreoglobulin,thyreoglobulin
Thyroxin.frei,thyroxin frei
Trijodthyronin,trijodthyronin
Nickel,nickel
Relevante diagnostische Tests &oder Labordaten,relevante diagnostische tests labordaten
Cystathionin,cystathionin
Beta-Aminoisobutyrat,beta aminoisobutyrat
Nitrit,nitrit
Homocystein/Creatinin,homocystein creatinin
Zellen.CD19+Lambda+/Zellen,zellen cd lambda zellen
Cortisol,cortisol
Cortisol^1 Stunde nach XXX Stimulation,cortisol stunde stimulation
Cortisol^2 Stunden nach XXX Stimulation,cortisol stimulation
Protoporphyrin,protoporphyrin
Körpermessungen,koerpermessungen
Leucin,leucin
Methadon,methadon
Beta vulgaris-Samen Ak.IgE,beta vulgaris samen ak ige
Purkinjezellen Ak,purkinjezellen ak
Ferritin,ferritin
Alanin/Creatinin,alanin creatinin
Aldosteron,aldosteron
Echinococcus sp Ak.IgG,echinococcus sp ak igg
HIV-1 p24 Ak,hiv ak
17-Hydroxyprogesteron^4. Probenmaterial nach XXX Stimulation,hydroxyprogesteron probenmaterial stimulation
Interferon.beta,interferon beta
IgA Ak.IgG,iga ak igg
Thyreotropin^30 Minuten nach Dosis TRH intravenös,thyreotropin minuten dosis trh intravenoes
Thyreotropin^1 Stunde nach Dosis TRH intravenös,thyreotropin stunde dosis trh intravenoes
Thyreotropin^Basislinie,thyreotropin basislinie
11-Hydroxyandrosteron,hydroxyandrosteron
"Glucose^1 Stunde nach 0,05-0,15 U Insulin/kg intravenös nach 12 Stunden Nahrungskarenz",glucose stunde insulin kg intravenoes nahrungskarenz
Mikroorganismen (Liste),mikroorganismen liste
Lymphozyten.kappa/Lymphozyten,lymphozyten kappa lymphozyten
Saure Phosphatase,saure phosphatase
Zellen.CD15/Zellen,zellen cd zellen
Gewebe-Polypeptid spezifisches Ag,gewebe polypeptid spezifisches ag
Aspartat-Aminotransferase,aspartat aminotransferase
Prostataspezifisches Ag,prostataspezifisches ag
Prostataspezifisches Ag.frei,prostataspezifisches ag frei
Plattenepithelkarzinom Ag,plattenepithelkarzinom ag
Neisseria meningitidis Serogruppen A+C+w135+Y Ag,neisseria meningitidis serogruppen ag
Purkinjezellen Ak.IgG,purkinjezellen ak igg
Acylcarnitin,acylcarnitin
Carnitin.frei,carnitin frei
Haemophilus influenzae B Ag,haemophilus influenzae ag
Eosinophile/Leukozyten,eosinophile leukozyten
HTLV 1+2 Ak-Bandenmuster,htlv ak bandenmuster
HTLV 1+2 Ak.IgG,htlv ak igg
Legionella pneumophila DNA,legionella pneumophila dna
Citrus limon Ak.IgG.RAST Klasse,citrus limon ak igg rast klasse
Lymphozyten.atypisch/Leukozyten,lymphozyten atypisch leukozyten
Mesothelzellen,mesothelzellen
Coproporphyrinogenoxidase,coproporphyrinogenoxidase
Barbiturate,barbiturate
Beta-2-Mikroglobulin,beta mikroglobulin
11-Desoxycortisol,desoxycortisol
Geschlecht,geschlecht
Dehydroepiandrosteron-Sulfat (DHEA-S),dehydroepiandrosteron sulfat dhea
Cytomegalie-Virus Ak.IgM,cytomegalie virus ak igm
Poa pratensis Ak.IgG,poa pratensis ak igg
Chenopodium album Ak.IgG,chenopodium album ak igg
Aspergillus fumigatus Ak.IgG.RAST Klasse,aspergillus fumigatus ak igg rast klasse
17-Hydroxyprogesteron,hydroxyprogesteron
5-Hydroxyindolacetat,hydroxyindolacetat
Aldosteron^liegend,aldosteron liegend
Alpha-1-Fetoprotein,alpha fetoprotein
Chrysanthemum leucanthemum Ak.IgE.RAST Klasse,chrysanthemum leucanthemum ak ige rast klasse
Dermatophagoides farinae Ak.IgE.RAST Klasse,dermatophagoides farinae ak ige rast klasse
Hundeepithel Ak.IgE.RAST Klasse,hundeepithel ak ige rast klasse
Kupfer,kupfer
Virus,virus
Humanes Papillomavirus Ag,humanes papillomavirus ag
Neutrophile.segmentiert/Leukozyten,neutrophile segmentiert leukozyten
Phenylalanin,phenylalanin
Thyreotropin,thyreotropin
Homocystin,homocystin
Pneumocystis jirovecii Ag,pneumocystis jirovecii ag
Röteln-Virus Ag,roeteln virus ag
Mumps-Virus Ag,mumps virus ag
Mycobacterium tuberculosis DNA,mycobacterium tuberculosis dna
Calcitriol,calcitriol
Carbamazepin,carbamazepin
Noradrenalin,noradrenalin
Uroporphyrin-1-Isomer,uroporphyrin isomer
Kalium,kalium
Carotin,carotin
Cholesterol.in HDL,cholesterol hdl
Clomipramin,clomipramin
Beobachtung,beobachtung
Quecksilber,quecksilber
Metanephrin,metanephrin
Molybdän,molybdaen
Lactatdehydrogenase 5/Lactatdehydrogenase.gesamt,lactatdehydrogenase lactatdehydrogenase gesamt
Normetanephrin,normetanephrin
Coproporphyrin 1,coproporphyrin
Rickettsia typhi Ak.IgM,rickettsia typhi ak igm
Kokain,kokain
Röteln-Virus Ak.IgG,roeteln virus ak igg
Prolin,prolin
Serin,serin
Silizium,silizium
Teicoplanin^TDM Spitze,teicoplanin tdm spitze
Lactose,lactose
Tyrosin,tyrosin
Wuchereria bancrofti Ag,wuchereria bancrofti ag
Tenebrio mollitor Ak.IgE.RAST Klasse,tenebrio mollitor ak ige rast klasse
Xylose,xylose
Zolpidem,zolpidem
11-Desoxycorticosteron,desoxycorticosteron
