,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.016024772310360404,0.002948155418675581,5.435524941747921,3.999449658896917e-07,0.010174253831407016,0.021875290789313794
C(system)[T.whisper–large],0.03537085498897032,0.001316338493704054,26.870637877830365,5.304673020551866e-47,0.032758624089205574,0.03798308588873507
C(system)[T.whisper–medium],0.03977200072780899,0.002078467880910197,19.135249138606916,7.228123018660695e-35,0.03564734886307149,0.043896652592546485
C(system)[T.whisper–turbo],0.02594579485701256,0.0016439781594529976,15.782323328215947,1.160094326652343e-28,0.02268337370378979,0.02920821601023533
C(system)[T.vosk–vosk-model-de-0.21],0.08270679154917564,0.0030068828053730554,27.50582477021895,7.007142771008616e-48,0.07673973048263757,0.0886738526157137
C(system)[T.whisper_v2–whisper_rescuespeech],0.3440956009341214,0.005629509355533311,61.123550775505116,7.609588966542946e-80,0.33292402283367495,0.35526717903456784
C(ambientVariant)[T.insideAmbulance],0.018955479146847955,0.0010529468695915187,18.0023130266787,7.706459610722006e-33,0.01686594035290312,0.02104501794079279
C(ambientVariant)[T.insideCrowded],0.06697203942796692,0.0015788108172032096,42.41929349496401,7.19167470807776e-65,0.06383894074453035,0.0701051381114035
C(ambientVariant)[T.talking],0.008671543500740501,0.001007030338010156,8.611005223412691,1.2395354204549622e-13,0.006673124569339036,0.010669962432141966
C(processedVolume)[T.-15dBFS],0.1669041937093698,0.0027908543879733455,59.80397774552896,6.112830443587871e-79,0.16136583400639276,0.17244255341234682
C(processedVolume)[T.-20dBFS],0.056523558408840956,0.001695674901412083,33.33395945282356,2.8293671520026777e-55,0.053158546753700485,0.059888570063981426
C(processedVolume)[T.-25dBFS],0.016614903507289155,0.0009817929644770143,16.923021562025202,7.655483375081915e-31,0.014666567322299418,0.018563239692278893
C(processedVolume)[T.-30dBFS],0.003992379604868814,0.0006702875210069743,5.956219502447328,4.0448962181167624e-08,0.0026622158343221256,0.0053225433754155015
