convoID,ambientVariant,processedVolume,technology,model,wer,S,D,I,S_med,D_med,I_med,mwer
30013825,insideAmbulance,-15dBFS,whisper,large,0.3101786220584066,324,103,64,51,12,13,0.2375
30013825,insideAmbulance,-20dBFS,whisper,large,0.22030053870144597,278,18,53,24,4,11,0.121875
30013825,insideAmbulance,-25dBFS,whisper,large,0.22908987808335696,248,19,58,23,3,15,0.128125
30013825,insideAmbulance,-30dBFS,whisper,large,0.22597108023816276,222,12,51,19,5,14,0.11875
30013825,insideAmbulance,-35dBFS,whisper,large,0.20413949532180323,256,14,35,22,6,8,0.1125
30013825,insideCrowded,-15dBFS,whisper,large,0.451091579245818,480,153,86,80,26,4,0.34375
30013825,insideCrowded,-20dBFS,whisper,large,0.2339098383895662,269,45,65,32,6,18,0.175
30013825,insideCrowded,-25dBFS,whisper,large,0.22908987808335696,231,13,47,27,2,15,0.1375
30013825,insideCrowded,-30dBFS,whisper,large,0.2285228239296853,237,20,44,22,7,8,0.115625
30013825,insideCrowded,-35dBFS,whisper,large,0.16047632548908422,227,21,31,20,4,8,0.1
30013825,talking,-15dBFS,whisper,large,0.2563084774595974,308,26,87,36,8,13,0.178125
30013825,talking,-20dBFS,whisper,large,0.1755032605613836,222,23,43,23,6,12,0.128125
30013825,talking,-25dBFS,whisper,large,0.17493620640771193,238,9,34,22,2,10,0.10625
30013825,talking,-30dBFS,whisper,large,0.2047065494754749,224,9,53,21,2,14,0.115625
30013825,talking,-35dBFS,whisper,large,0.1746526793308761,205,6,41,17,1,13,0.096875
30013825,trafficOutside,-15dBFS,whisper,large,0.21944995747093848,286,25,48,27,7,8,0.13125
30013825,trafficOutside,-20dBFS,whisper,large,0.18315849163595124,240,25,36,20,2,13,0.109375
30013825,trafficOutside,-25dBFS,whisper,large,0.199319535015594,244,18,43,21,6,10,0.115625
30013825,trafficOutside,-30dBFS,whisper,large,0.20981003685851998,220,14,49,20,3,16,0.121875
30013825,trafficOutside,-35dBFS,whisper,large,0.2855117663736887,216,18,72,22,4,16,0.13125
30114157,insideAmbulance,-15dBFS,whisper,large,0.16029593094944514,100,15,18,14,5,0,0.20652173913043478
30114157,insideAmbulance,-20dBFS,whisper,large,0.10049321824907521,53,9,10,7,3,0,0.10869565217391304
30114157,insideAmbulance,-25dBFS,whisper,large,0.09617755856966707,40,7,11,2,3,0,0.05434782608695652
30114157,insideAmbulance,-30dBFS,whisper,large,0.06165228113440197,30,4,8,2,2,1,0.05434782608695652
30114157,insideAmbulance,-35dBFS,whisper,large,0.1060419235511714,34,4,13,5,2,1,0.08695652173913043
30114157,insideCrowded,-15dBFS,whisper,large,0.499383477188656,197,54,58,27,9,7,0.4673913043478261
30114157,insideCrowded,-20dBFS,whisper,large,0.1812577065351418,81,17,22,13,3,2,0.1956521739130435
30114157,insideCrowded,-25dBFS,whisper,large,0.16522811344019728,47,4,17,5,2,4,0.11956521739130435
30114157,insideCrowded,-30dBFS,whisper,large,0.093711467324291,34,3,17,6,2,2,0.10869565217391304
30114157,insideCrowded,-35dBFS,whisper,large,0.08508014796547472,24,5,10,6,3,4,0.14130434782608695
30114157,talking,-15dBFS,whisper,large,0.14919852034525277,72,14,19,13,3,2,0.1956521739130435
30114157,talking,-20dBFS,whisper,large,0.17570900123304561,40,7,18,4,4,4,0.13043478260869565
30114157,talking,-25dBFS,whisper,large,0.1189889025893958,35,7,19,4,2,3,0.09782608695652174
30114157,talking,-30dBFS,whisper,large,0.07028360049321825,34,6,11,4,2,1,0.07608695652173914
30114157,talking,-35dBFS,whisper,large,0.16954377311960542,43,12,17,7,3,1,0.11956521739130435
30114157,trafficOutside,-15dBFS,whisper,large,0.22564734895191121,66,17,27,13,4,4,0.22826086956521738
30114157,trafficOutside,-20dBFS,whisper,large,0.1282367447595561,41,12,13,5,4,1,0.10869565217391304
