,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,1.000842372909783,0.0008833424612271848,1133.0173934120198,1.440469519507606e-203,0.9990894085443646,1.0025953372752017
C(system)[T.whisper–large],-0.005371062227926521,0.00043277979034955154,-12.410612389243898,8.107900475725049e-22,-0.006229899636808813,-0.004512224819044229
C(system)[T.whisper–medium],-0.00732069532991091,0.0006980232739828056,-10.48775249017161,1.0603952758950502e-17,-0.008705899799562154,-0.005935490860259666
C(system)[T.whisper–turbo],-0.013815193488503009,0.0010333248862246956,-13.369651377484493,8.049355254645301e-24,-0.01586579309506508,-0.011764593881940935
C(system)[T.vosk–vosk-model-de-0.21],-0.03673086396885762,0.0010624354768661863,-34.57232440806744,1.0463661927268094e-56,-0.03883923259512687,-0.03462249534258837
C(system)[T.whisper_v2–whisper_rescuespeech],-0.0803752361425999,0.0015043202104252425,-53.42960600115807,2.7641784612978193e-74,-0.08336051064122511,-0.0773899616439747
C(ambientVariant)[T.insideAmbulance],-0.005571895272311056,0.00040036447190535594,-13.917057239854746,6.043412838814903e-25,-0.0063664055367159645,-0.004777385007906147
C(ambientVariant)[T.insideCrowded],-0.0211736440580374,0.0006929322389384758,-30.556586731299955,6.796636444022924e-52,-0.022548745534333826,-0.019798542581740974
C(ambientVariant)[T.talking],-0.0025860223257243658,0.0003892148904878911,-6.644201927841761,1.7224373460940584e-09,-0.0033584066086758345,-0.001813638042772897
C(processedVolume)[T.-15dBFS],-0.041326517727626876,0.000981047914317568,-42.124871909415596,1.3740603002750437e-64,-0.04327337538482327,-0.03937966007043048
C(processedVolume)[T.-20dBFS],-0.010634068795408309,0.00042255312330170635,-25.166229307020167,1.4589749403486055e-44,-0.011472611716366894,-0.009795525874449724
C(processedVolume)[T.-25dBFS],-0.0028115835951700256,0.0003821761032925062,-7.35677498134446,5.8174697617446895e-11,-0.0035699996340136176,-0.0020531675563264335
C(processedVolume)[T.-30dBFS],-0.0003877962913898553,0.0003042822408023127,-1.2744624542245313,0.20551329796186574,-0.0009916344952220707,0.00021604191244236
