term,logit_coef,WER_est,ΔWER,ΔWER_[0.025],ΔWER_[0.975]
Intercept,-3.169452,0.040332,0.000000,0.040332,0.040332
system[T.vosk-vosk-model-de-0.21],1.287618,0.132178,0.091847,0.128894,0.135534
system[T.whisper-large],0.829622,0.087878,0.047546,0.085454,0.090363
system[T.whisper-medium],0.500795,0.064848,0.024517,0.063308,0.066424
system[T.whisper-turbo],0.320331,0.054727,0.014395,0.053353,0.056134
system[T.whisper_v2-whisper_rescuespeech],3.066444,0.474271,0.433939,0.468709,0.479839
ambient[T.insideAmbulance],0.085287,0.043765,0.003434,0.042883,0.044665
ambient[T.insideCrowded],0.441380,0.061337,0.021005,0.059936,0.062769
ambient[T.talking],0.015178,0.040923,0.000592,0.040084,0.041779
volume[T.-15dBFS],1.314745,0.135321,0.094990,0.131801,0.138920
volume[T.-20dBFS],0.514251,0.065669,0.025338,0.064264,0.067103
volume[T.-25dBFS],0.170348,0.047466,0.007135,0.046393,0.048564
volume[T.-30dBFS],0.038222,0.041837,0.001506,0.040830,0.042868
