convoID,ambientVariant,processedVolume,technology,model,wer
30013825,insideAmbulance,-15dBFS,whisper,large,0.3101786220584066
30013825,insideAmbulance,-20dBFS,whisper,large,0.22030053870144597
30013825,insideAmbulance,-25dBFS,whisper,large,0.22908987808335696
30013825,insideAmbulance,-30dBFS,whisper,large,0.22597108023816276
30013825,insideAmbulance,-35dBFS,whisper,large,0.2038559682449674
30013825,insideCrowded,-15dBFS,whisper,large,0.4508080521689821
30013825,insideCrowded,-20dBFS,whisper,large,0.2339098383895662
30013825,insideCrowded,-25dBFS,whisper,large,0.22908987808335696
30013825,insideCrowded,-30dBFS,whisper,large,0.2285228239296853
30013825,insideCrowded,-35dBFS,whisper,large,0.16047632548908422
30013825,talking,-15dBFS,whisper,large,0.2563084774595974
30013825,talking,-20dBFS,whisper,large,0.1755032605613836
30013825,talking,-25dBFS,whisper,large,0.17493620640771193
30013825,talking,-30dBFS,whisper,large,0.20442302239863908
30013825,talking,-35dBFS,whisper,large,0.1746526793308761
30013825,trafficOutside,-15dBFS,whisper,large,0.21944995747093848
30013825,trafficOutside,-20dBFS,whisper,large,0.18315849163595124
30013825,trafficOutside,-25dBFS,whisper,large,0.199319535015594
30013825,trafficOutside,-30dBFS,whisper,large,0.20981003685851998
30013825,trafficOutside,-35dBFS,whisper,large,0.2855117663736887
30114157,insideAmbulance,-15dBFS,whisper,large,0.16029593094944514
30114157,insideAmbulance,-20dBFS,whisper,large,0.10049321824907521
30114157,insideAmbulance,-25dBFS,whisper,large,0.09617755856966707
30114157,insideAmbulance,-30dBFS,whisper,large,0.06165228113440197
30114157,insideAmbulance,-35dBFS,whisper,large,0.1060419235511714
30114157,insideCrowded,-15dBFS,whisper,large,0.499383477188656
30114157,insideCrowded,-20dBFS,whisper,large,0.1812577065351418
30114157,insideCrowded,-25dBFS,whisper,large,0.16522811344019728
30114157,insideCrowded,-30dBFS,whisper,large,0.093711467324291
30114157,insideCrowded,-35dBFS,whisper,large,0.08508014796547472
30114157,talking,-15dBFS,whisper,large,0.14919852034525277
30114157,talking,-20dBFS,whisper,large,0.17570900123304561
30114157,talking,-25dBFS,whisper,large,0.1189889025893958
30114157,talking,-30dBFS,whisper,large,0.07028360049321825
30114157,talking,-35dBFS,whisper,large,0.16954377311960542
30114157,trafficOutside,-15dBFS,whisper,large,0.22564734895191121
30114157,trafficOutside,-20dBFS,whisper,large,0.1282367447595561
30114157,trafficOutside,-25dBFS,whisper,large,0.07583230579531443
30114157,trafficOutside,-30dBFS,whisper,large,0.16522811344019728
30114157,trafficOutside,-35dBFS,whisper,large,0.09001233045622688
30238398,insideAmbulance,-15dBFS,whisper,large,0.18953068592057762
30238398,insideAmbulance,-20dBFS,whisper,large,0.09205776173285199
30238398,insideAmbulance,-25dBFS,whisper,large,0.10890493381468111
30238398,insideAmbulance,-30dBFS,whisper,large,0.12394705174488568
30238398,insideAmbulance,-35dBFS,whisper,large,0.2322503008423586
30238398,insideCrowded,-15dBFS,whisper,large,0.3862815884476534
30238398,insideCrowded,-20dBFS,whisper,large,0.11793020457280386
